size, threads, time
10000,1, 34.382229
10000,1, 34.497167
10000,1, 34.391004
10000,1, 34.345968
10000,1, 34.392603
10000,2, 17.538365
10000,2, 17.657856
10000,2, 17.530950
10000,2, 17.667856
10000,2, 17.529952
10000,3, 11.931054
10000,3, 12.075231
10000,3, 12.070270
10000,3, 11.948177
10000,3, 12.059300
10000,4, 9.005351
10000,4, 9.015753
10000,4, 9.023225
10000,4, 8.983438
10000,4, 9.009919
10000,5, 7.363131
10000,5, 7.401721
10000,5, 7.347058
10000,5, 7.339617
10000,5, 7.346385
10000,6, 6.297793
10000,6, 6.290173
10000,6, 6.332121
10000,6, 6.277946
10000,6, 6.304611
10000,7, 5.412920
10000,7, 5.419095
10000,7, 5.394215
10000,7, 5.418135
10000,7, 5.391143
10000,8, 4.878301
10000,8, 4.804425
10000,8, 4.977512
10000,8, 4.836154
10000,8, 5.027268
10000,9, 4.528958
10000,9, 4.522277
10000,9, 4.310771
10000,9, 4.500027
10000,9, 4.309818
10000,10, 3.939123
10000,10, 3.912704
10000,10, 3.939296
10000,10, 3.934199
10000,10, 3.942356
10000,11, 3.714604
10000,11, 3.634070
10000,11, 3.657455
10000,11, 3.631020
10000,11, 3.606285
10000,12, 3.530790
10000,12, 3.502935
10000,12, 3.488633
10000,12, 3.497476
10000,12, 3.466848
