size,cores,time
10000, 1, 94.864518
10000, 1, 95.027405
10000, 1, 94.772235
10000, 1, 94.870133
10000, 1, 95.075856
10000, 2, 47.429540
10000, 2, 47.421600
10000, 2, 47.404289
10000, 2, 47.417197
10000, 2, 47.413575
10000, 3, 31.774166
10000, 3, 31.762386
10000, 3, 31.767776
10000, 3, 31.770399
10000, 3, 31.758577
10000, 4, 23.990232
10000, 4, 23.983071
10000, 4, 23.993023
10000, 4, 23.999582
10000, 4, 24.019400
10000, 5, 19.360980
10000, 5, 19.349293
10000, 5, 19.355760
10000, 5, 19.358538
10000, 5, 19.400783
10000, 6, 16.381734
10000, 6, 16.408687
10000, 6, 16.385572
10000, 6, 16.417551
10000, 6, 16.405663
10000, 7, 14.158871
10000, 7, 14.153904
10000, 7, 14.164803
10000, 7, 14.164763
10000, 7, 14.169321
10000, 8, 12.925560
10000, 8, 12.934539
10000, 8, 12.938716
10000, 8, 12.938112
10000, 8, 12.945082
10000, 9, 11.677090
10000, 9, 11.680799
10000, 9, 11.674580
10000, 9, 11.799107
10000, 9, 11.668369
10000, 10, 10.731836
10000, 10, 10.723255
10000, 10, 10.716465
10000, 10, 10.729829
10000, 10, 10.735308
10000, 11, 9.978259
10000, 11, 9.983787
10000, 11, 10.025994
10000, 11, 9.995018
10000, 11, 10.006274
10000, 12, 9.407221
10000, 12, 9.390052
10000, 12, 9.398904
10000, 12, 9.398628
10000, 12, 9.395418
10000, 13, 8.895361
10000, 13, 8.879944
10000, 13, 8.882857
10000, 13, 8.900603
10000, 13, 8.893708
10000, 14, 8.537132
10000, 14, 8.495022
10000, 14, 8.477643
10000, 14, 8.524245
10000, 14, 8.494145
10000, 15, 8.234872
10000, 15, 8.240108
10000, 15, 8.237878
10000, 15, 8.236925
10000, 15, 8.218581
10000, 16, 7.231322
10000, 16, 7.305477
10000, 16, 7.226989
10000, 16, 7.224339
10000, 16, 7.311785
10000, 17, 6.904397
10000, 17, 6.886757
10000, 17, 6.981245
10000, 17, 6.924160
10000, 17, 6.917696
10000, 18, 6.583206
10000, 18, 6.596064
10000, 18, 6.589068
10000, 18, 6.595189
10000, 18, 6.576126
10000, 19, 6.319288
10000, 19, 6.300678
10000, 19, 6.295244
10000, 19, 6.395471
10000, 19, 6.320822
10000, 20, 6.040989
10000, 20, 6.020349
10000, 20, 6.032240
10000, 20, 6.022356
10000, 20, 6.036292
10000, 21, 5.852711
10000, 21, 5.902236
10000, 21, 5.952857
10000, 21, 5.795517
10000, 21, 5.823455
10000, 22, 5.592392
10000, 22, 5.697870
10000, 22, 5.602110
10000, 22, 5.613569
10000, 22, 5.602556
10000, 23, 5.381832
10000, 23, 5.399642
10000, 23, 5.493316
10000, 23, 5.411467
10000, 23, 5.407722
10000, 24, 5.302133
10000, 24, 5.366822
10000, 24, 5.252643
10000, 24, 5.310549
10000, 24, 5.269352
10000, 25, 5.069135
10000, 25, 5.124969
10000, 25, 5.053881
10000, 25, 5.105539
10000, 25, 5.129666
10000, 26, 4.927649
10000, 26, 4.896585
10000, 26, 5.062175
10000, 26, 4.918059
10000, 26, 4.920912
10000, 27, 4.827092
10000, 27, 4.829444
10000, 27, 4.800474
10000, 27, 4.846102
10000, 27, 4.896239
10000, 28, 4.631629
10000, 28, 4.804142
10000, 28, 4.648216
10000, 28, 4.689242
10000, 28, 4.724586
10000, 29, 4.517210
10000, 29, 4.507564
10000, 29, 4.682287
10000, 29, 4.595328
10000, 29, 4.542907
10000, 30, 4.617688
10000, 30, 4.626929
10000, 30, 4.417587
10000, 30, 4.453659
10000, 30, 4.543489
10000, 31, 4.334231
10000, 31, 4.326610
10000, 31, 4.381424
10000, 31, 4.441020
10000, 31, 4.322165
10000, 32, 4.260120
10000, 32, 4.349634
10000, 32, 4.312187
10000, 32, 4.239325
10000, 32, 4.250566
10000, 33, 4.271311
10000, 33, 4.123163
10000, 33, 4.117045
10000, 33, 4.466880
10000, 33, 4.127478
10000, 34, 4.112435
10000, 34, 4.200812
10000, 34, 4.347897
10000, 34, 4.275463
10000, 34, 4.188990
10000, 35, 4.200363
10000, 35, 4.199933
10000, 35, 3.969150
10000, 35, 4.186321
10000, 35, 4.077082
10000, 36, 4.104426
10000, 36, 4.058103
10000, 36, 4.144930
10000, 36, 4.135028
10000, 36, 4.043709
10000, 37, 4.113025
10000, 37, 3.950425
10000, 37, 4.082967
10000, 37, 3.987893
10000, 37, 4.147990
10000, 38, 4.078850
10000, 38, 3.919328
10000, 38, 4.063204
10000, 38, 3.820138
10000, 38, 4.071863
10000, 39, 3.851899
10000, 39, 3.899274
10000, 39, 3.799464
10000, 39, 3.789550
10000, 39, 3.939070
10000, 40, 3.589066
10000, 40, 3.608426
10000, 40, 3.616021
10000, 40, 3.708606
10000, 40, 3.650074
10000, 41, 3.611674
10000, 41, 3.525923
10000, 41, 3.538660
10000, 41, 3.525143
10000, 41, 3.535791
10000, 42, 3.826553
10000, 42, 4.048872
10000, 42, 3.856825
10000, 42, 3.832010
10000, 42, 3.796366
10000, 43, 3.741509
10000, 43, 3.631896
10000, 43, 3.714081
10000, 43, 3.778595
10000, 43, 3.798120
10000, 44, 3.546638
10000, 44, 3.691820
10000, 44, 3.741455
10000, 44, 3.690356
10000, 44, 3.675287
10000, 45, 3.546910
10000, 45, 3.779304
10000, 45, 3.473238
10000, 45, 3.744374
10000, 45, 3.829027
10000, 46, 3.797495
10000, 46, 3.714381
10000, 46, 3.508018
10000, 46, 3.537329
10000, 46, 3.569063
10000, 47, 3.617849
10000, 47, 3.524762
10000, 47, 3.470568
10000, 47, 3.605766
10000, 47, 3.655903
10000, 48, 3.451688
10000, 48, 3.253658
10000, 48, 3.496247
10000, 48, 3.354913
10000, 48, 3.538719
10000, 49, 3.269593
10000, 49, 3.184217
10000, 49, 3.266342
10000, 49, 3.173224
10000, 49, 3.255107
10000, 50, 3.142537
10000, 50, 3.121191
10000, 50, 3.147797
10000, 50, 3.150301
10000, 50, 3.143254
10000, 51, 3.139912
10000, 51, 3.214752
10000, 51, 3.208010
10000, 51, 3.217512
10000, 51, 3.303251
10000, 52, 3.386150
10000, 52, 3.343292
10000, 52, 3.648945
10000, 52, 3.286718
10000, 52, 3.292403
10000, 53, 3.388501
10000, 53, 3.141268
10000, 53, 3.243168
10000, 53, 3.307297
10000, 53, 3.241387
10000, 54, 3.374900
10000, 54, 3.489063
10000, 54, 3.363243
10000, 54, 3.294458
10000, 54, 3.437380
10000, 55, 3.117057
10000, 55, 3.312433
10000, 55, 3.493405
10000, 55, 3.265879
10000, 55, 3.393823
10000, 56, 3.308608
10000, 56, 3.335153
10000, 56, 3.219718
10000, 56, 3.539827
10000, 56, 3.335688
10000, 57, 3.291598
10000, 57, 3.245700
10000, 57, 3.169466
10000, 57, 3.311032
10000, 57, 3.323199
10000, 58, 3.036704
