Matrix Size,Elapsed Time (s),GFLOPS
2000,.28635,558.79983
4000,.13654,937.80453
6000,.60259,716.91255
8000,1.29514,790.65337
10000,2.44076,819.50787
12000,3.55791,987.86593
14000,6.17531,888.79847
16000,8.16407,1008.27811
18000,12.64285,922.69083
20000,13.88755,1168.57080
