Matrix Size,Elapsed Time (s),GFLOPS
2000,.34407,465.29595
4000,.11726,1092.09382
6000,.42273,1021.93174
8000,1.35152,757.67887
10000,2.51851,794.12004
12000,4.22106,859.25171
14000,6.32853,867.65291
16000,7.47860,1096.99939
18000,10.35121,1136.17197
20000,17.49215,914.79796
