Matrix Size,Elapsed Time (s),GFLOPS
2000,.39095,411.93500
4000,.17179,746.95102
6000,.63661,679.11393
8000,1.37441,745.15019
10000,2.48217,805.85902
12000,3.93363,878.63834
14000,6.52279,842.25439
16000,8.67593,983.11602
18000,13.58814,860.43165
20000,16.78623,964.66217
