Matrix Size,Elapsed Time (s),GFLOPS
2000,.19575,819.01577
4000,.66380,1929.78590
6000,.20045,2155.77592
8000,.71147,1439.32588
10000,1.34775,1484.20238
12000,2.68904,1655.95652
14000,3.27178,1677.62817
16000,4.39060,1878.34237
18000,6.25114,1867.19393
20000,8.34105,1925.62905
