Matrix Size,Elapsed Time (s),GFLOPS
2000,.22335,716.97687
4000,.66589,1922.93655
6000,.15460,2795.33449
8000,.37241,2750.44717
10000,1.13081,1768.77184
12000,2.23338,1547.64901
14000,3.42265,1603.43784
16000,4.98389,1643.69710
18000,6.18953,1884.48533
20000,8.03694,2044.50523
