Matrix Size,Elapsed Time (s),GFLOPS
2000,.58404,274.24051
4000,.20565,623.15462
6000,.64965,666.16288
8000,1.70609,600.47268
10000,3.46893,576.55877
12000,5.70061,606.25183
14000,9.09876,603.33558
16000,9.66282,869.75354
18000,12.72306,933.54148
20000,24.98051,647.65985
