Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,42.56377,47.52389
4,10000,10.72302,186.51515
5,10000,8.55484,233.78638
6,10000,7.34061,272.45817
7,10000,6.38635,313.16848
8,10000,5.62660,355.45404
9,10000,5.13244,389.67898
10,10000,4.61833,433.05668
11,10000,4.36156,458.55158
12,10000,3.95155,506.13071
13,10000,3.68591,542.60878
14,10000,3.59164,556.84882
15,10000,3.42405,584.10250
16,10000,3.14683,635.57553
