Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,43.40454,46.37948
4,10000,11.66129,171.50860
5,10000,9.19453,217.52175
6,10000,7.67801,260.48469
7,10000,6.48024,308.63276
8,10000,5.83105,342.99367
9,10000,5.37312,398.50501
10,10000,4.58593,436.12265
11,10000,4.17969,478.50545
12,10000,4.29616,500.31129
13,10000,3.69461,541.33444
14,10000,3.38678,590.53131
15,10000,3.29611,606.78347
16,10000,3.54594,564.04515
