Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,42.48692,47.07389
4,10000,11.19592,178.63711
5,10000,9.13843,223.19953
6,10000,7.57147,264.15209
7,10000,6.45384,309.89309
8,10000,5.62404,355.61624
9,10000,5.12241,390.44199
10,10000,4.51814,442.66282
11,10000,4.25495,470.04157
12,10000,3.81856,523.76078
13,10000,3.56030,561.76509
14,10000,3.44311,580.87674
15,10000,3.25970,613.56612
16,10000,3.00747,671.89015
