Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,41.75237,47.90196
2,10000,21.19072,94.38140
4,10000,11.76179,170.04246
16,10000,3.29416,656.23586
32,10000,2.28460,875.42652
48,10000,2.18393,915.78932
64,10000,2.40761,830.75829
80,10000,2.35808,849.87561
96,10000,2.29423,873.16168
112,10000,2.71441,738.56678
128,10000,3.55647,643.91632
