Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,14.41832,138.71244
2,10000,7.69493,259.93362
4,10000,3.71564,538.26471
6,10000,2.48291,805.51581
8,10000,1.89017,1058.10803
10,10000,1.51616,1319.14303
12,10000,1.26424,1581.98056
14,10000,1.63219,1849.80777
16,10000,.94784,2110.20087
18,10000,.84332,2371.56627
20,10000,.77469,2581.67585
22,10000,.72977,2740.64953
24,10000,.66186,3021.77750
