Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,28.64340,69.82409
2,10000,16.15952,123.76639
4,10000,8.10022,247.08394
6,10000,5.33760,375.04179
8,10000,4.06522,514.68260
10,10000,3.67536,651.99284
12,10000,2.57893,775.54343
14,10000,2.19158,912.59692
16,10000,1.95331,1023.92126
18,10000,1.74402,1146.81170
20,10000,1.57741,1267.89586
22,10000,1.47097,1359.78343
24,10000,1.42145,1407.05182
