Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,14.41724,138.72280
2,10000,7.87845,253.85709
4,10000,3.73242,535.85997
6,10000,2.48343,805.34052
8,10000,1.89236,1056.88871
10,10000,1.52107,1315.00814
12,10000,1.26327,1583.19935
14,10000,1.77874,1855.67666
16,10000,.94214,2122.81894
18,10000,.84695,2361.55981
20,10000,.77688,2574.60125
22,10000,.73354,2726.60416
24,10000,.66222,3020.11877
