Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,15.20459,133.07395
2,10000,8.56545,233.54255
4,10000,4.29089,497.39229
6,10000,2.64284,756.92646
8,10000,1.93491,1033.79318
10,10000,1.54366,1295.64868
12,10000,1.27885,1563.90335
14,10000,1.45239,1817.63305
16,10000,.95473,2094.82133
18,10000,.85150,2348.77857
20,10000,.76917,2600.19618
22,10000,.70277,2845.88164
24,10000,.64736,3089.44701
