Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,15.70414,127.35569
2,10000,8.26888,241.87654
4,10000,4.12350,485.02515
6,10000,2.76656,722.91970
8,10000,2.31000,865.87614
10,10000,1.81188,1103.91151
12,10000,1.45249,1376.97248
14,10000,1.24210,1610.30859
16,10000,1.16176,1721.59857
18,10000,1.68054,1840.21998
20,10000,.95561,2092.89982
22,10000,.88967,2248.02534
24,10000,.87831,2277.08888
