size,OMP-threads,time
10000,1,60.217024
10000,1,60.582642
10000,1,60.403383
10000,1,60.246654
10000,1,60.239513
10000,2,30.882174
10000,2,30.892720
10000,2,30.900301
10000,2,30.901161
10000,2,30.932937
10000,3,21.035047
10000,3,21.040937
10000,3,21.044429
10000,3,21.034236
10000,3,21.001056
10000,4,16.056191
10000,4,16.037010
10000,4,16.073786
10000,4,16.066699
10000,4,16.081511
10000,5,13.110306
10000,5,13.085518
10000,5,13.112792
10000,5,13.131220
10000,5,13.114032
10000,6,11.083580
10000,6,11.138153
10000,6,11.128201
10000,6,11.134684
10000,6,11.160934
10000,7,9.735214
10000,7,9.751450
10000,7,9.733262
10000,7,9.713235
10000,7,9.738068
10000,8,8.688422
10000,8,8.702566
10000,8,8.670806
10000,8,8.680751
10000,8,8.684056
10000,9,7.844148
10000,9,7.868747
10000,9,7.868451
10000,9,7.826085
10000,9,7.863129
10000,10,7.186808
10000,10,7.165349
10000,10,7.169719
10000,10,7.206852
10000,10,7.173447
10000,11,6.637652
10000,11,6.765082
10000,11,6.636408
10000,11,6.655493
10000,11,6.682971
10000,12,6.182309
10000,12,6.291766
10000,12,6.326284
10000,12,6.244124
10000,12,6.281595
