size,OMP-threads,time
10000,1,29.450144
10000,1,29.670327
10000,1,29.448323
10000,1,29.453290
10000,1,29.453647
10000,2,15.052583
10000,2,15.044991
10000,2,15.030161
10000,2,15.030160
10000,2,15.046212
10000,3,10.221358
10000,3,10.254450
10000,3,10.233339
10000,3,10.198148
10000,3,10.186683
10000,4,7.820521
10000,4,7.799418
10000,4,7.806282
10000,4,7.819674
10000,4,7.801914
10000,5,6.365425
10000,5,6.362440
10000,5,6.345598
10000,5,6.325180
10000,5,6.358197
10000,6,5.330193
10000,6,5.329272
10000,6,5.297026
10000,6,5.327219
10000,6,5.292671
10000,7,4.637402
10000,7,4.639399
10000,7,4.655354
10000,7,4.671281
10000,7,4.631274
10000,8,4.152731
10000,8,4.156690
10000,8,4.142198
10000,8,4.154479
10000,8,4.158028
10000,9,3.720057
10000,9,3.689391
10000,9,3.718812
10000,9,3.716667
10000,9,3.743328
10000,10,3.389924
10000,10,3.420006
10000,10,3.393733
10000,10,3.418507
10000,10,3.431595
10000,11,3.118513
10000,11,3.141472
10000,11,3.110267
10000,11,3.142758
10000,11,3.138902
10000,12,2.911574
10000,12,2.905824
10000,12,2.930364
10000,12,2.921645
10000,12,2.919449
