size,OMP-threads,time
10000,1,60.129239
10000,1,60.418700
10000,1,60.158457
10000,1,60.121083
10000,1,60.147562
10000,2,30.837707
10000,2,30.815850
10000,2,30.838103
10000,2,30.817789
10000,2,30.838022
10000,3,20.955427
10000,3,20.950462
10000,3,20.992801
10000,3,20.954920
10000,3,20.961730
10000,4,16.062585
10000,4,16.018984
10000,4,16.011849
10000,4,16.016851
10000,4,16.021199
10000,5,13.045259
10000,5,13.047482
10000,5,13.039178
10000,5,13.045319
10000,5,13.054200
10000,6,11.070189
10000,6,11.068141
10000,6,11.073535
10000,6,11.091858
10000,6,11.072912
10000,7,9.744854
10000,7,9.739229
10000,7,9.657532
10000,7,9.654666
10000,7,9.659511
10000,8,8.621504
10000,8,8.604523
10000,8,8.601679
10000,8,8.596951
10000,8,8.601619
10000,9,7.791578
10000,9,7.806221
10000,9,7.792226
10000,9,7.784983
10000,9,7.785403
10000,10,7.123019
10000,10,7.128366
10000,10,7.121452
10000,10,7.126281
10000,10,7.155153
10000,11,6.599942
10000,11,6.599173
10000,11,6.604629
10000,11,6.597721
10000,11,6.603306
10000,12,6.142716
10000,12,6.211976
10000,12,6.141068
10000,12,6.143628
10000,12,6.209245
