size,OMP-threads,time
17500,1,181.746068
17500,1,182.405471
17500,1,182.527969
17500,1,181.698014
17500,1,181.718053
17500,2,91.857911
17500,2,91.861201
17500,2,92.039609
17500,2,91.931055
17500,2,91.908034
17500,3,61.967863
17500,3,61.919920
17500,3,61.958301
17500,3,61.994239
17500,3,61.908782
17500,4,46.904941
17500,4,46.951523
17500,4,46.881459
17500,4,46.882227
17500,4,46.921651
17500,5,37.832272
17500,5,37.852495
17500,5,37.841045
17500,5,37.848850
17500,5,37.856992
17500,6,31.860864
17500,6,31.854152
17500,6,31.881101
17500,6,31.867323
17500,6,31.836574
17500,7,27.540573
17500,7,27.578841
17500,7,27.516909
17500,7,27.570356
17500,7,27.514054
17500,8,24.351091
17500,8,24.368933
17500,8,24.349596
17500,8,24.361114
17500,8,24.372749
17500,9,21.806944
17500,9,21.768412
17500,9,21.827764
17500,9,21.797435
17500,9,21.831154
17500,10,19.860486
17500,10,19.846291
17500,10,20.010245
17500,10,19.809658
17500,10,19.829852
17500,11,18.184832
17500,11,18.212408
17500,11,18.193365
17500,11,18.164748
17500,11,18.193501
17500,12,16.943702
17500,12,16.799414
17500,12,17.051509
17500,12,16.826396
17500,12,17.019429
