Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,42.68110,46.85951
2,10000,23.38701,86.43827
4,10000,11.55955,173.03296
16,10000,2.86360,698.42216
32,10000,2.62559,761.73229
48,10000,2.28577,874.97678
64,10000,2.52398,792.40060
80,10000,2.65656,752.85744
96,10000,2.52768,791.24056
112,10000,2.94819,678.39491
128,10000,3.28582,640.07268
