Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,,
2,10000,,
4,10000,,
16,10000,,
32,10000,,
48,10000,,
64,10000,,
80,10000,,
96,10000,,
112,10000,,
128,10000,,
