Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,20.65096,96.84915
2,10000,11.30137,179.75975
4,10000,5.64162,354.51462
16,10000,1.48914,1343.06169
32,10000,1.19951,1667.40856
48,10000,.99052,2019.23308
64,10000,1.68762,1836.36679
80,10000,1.25836,1589.55230
96,10000,1.28085,1561.53350
112,10000,1.75412,1140.24512
128,10000,1.77656,1125.86126
