Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,42.61054,46.93706
2,10000,22.78194,87.79047
4,10000,11.25523,177.70115
16,10000,3.44086,665.02577
32,10000,2.97017,673.36300
48,10000,3.28459,642.49317
64,10000,3.29825,606.71377
80,10000,3.28887,608.52522
96,10000,3.42965,583.18510
112,10000,3.33953,598.89781
128,10000,3.30358,605.40514
