Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,20.78809,96.79937
2,10000,10.59936,188.69602
4,10000,5.26711,379.71978
16,10000,1.51916,1316.51178
32,10000,.94533,2115.70990
48,10000,.97768,2045.73760
64,10000,1.27904,1816.54103
80,10000,1.24159,1610.96083
96,10000,1.42047,1408.13169
112,10000,1.55192,1288.83348
128,10000,1.66116,1204.06255
