Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,42.72186,46.81609
2,10000,22.02959,91.33633
4,10000,10.94135,182.79762
16,10000,3.16321,632.26995
32,10000,2.24896,889.33167
48,10000,2.23383,895.32409
64,10000,2.48774,804.11871
80,10000,2.53619,788.66300
96,10000,2.88352,693.60832
112,10000,3.11762,641.52593
128,10000,3.32207,602.04241
