Matrix Size,Elapsed Time (s),GFLOPS
2000,.34159,468.51752
4000,.16148,792.87870
6000,.43840,985.64087
8000,.96722,1058.85472
10000,1.64968,1212.38888
12000,2.59268,1333.04957
14000,3.67954,1491.78883
16000,5.14673,1591.73528
18000,5.69416,2053.57263
20000,7.00690,2364.06056
