Matrix Size,Elapsed Time (s),GFLOPS
2000,.34151,545.86754
4000,.75273,1703.19780
6000,.24523,1765.30372
8000,.79931,1281.17717
10000,1.54239,1296.70675
12000,2.60116,1328.66764
14000,3.68567,1569.73325
16000,5.92453,1388.74462
18000,7.18887,1626.70823
20000,11.23392,1438.23474
