Matrix Size,Elapsed Time (s),GFLOPS
2000,.29987,533.78996
4000,.75502,1696.25236
6000,.17059,2533.15053
8000,.47113,2173.57592
10000,1.35277,1478.82985
12000,2.85454,1211.64202
14000,4.40424,1246.14738
16000,6.34857,1290.37654
18000,7.13186,1645.79824
20000,10.12765,1649.61004
