Matrix Size,Elapsed Time (s),GFLOPS
2000,.22584,709.04142
4000,.67306,1902.84736
6000,.16086,2688.36149
8000,.39016,2625.27888
10000,1.16234,1720.80440
12000,2.25385,1533.40630
14000,3.45670,1587.67439
16000,4.15182,2023.14886
18000,6.19178,1883.79839
20000,7.57194,2113.15442
