Matrix Size,Elapsed Time (s),GFLOPS
2000,.36381,440.95309
4000,.11820,1083.62914
6000,.42790,1009.65492
8000,1.36826,748.39997
10000,2.52841,791.01671
12000,4.26231,858.37311
14000,5.54612,1010.21413
16000,7.90764,1035.96754
18000,12.81074,910.66769
20000,16.49706,984.69449
