Matrix Size,Elapsed Time (s),GFLOPS
2000,.62818,254.73331
4000,.31422,407.41123
6000,.97198,444.45578
8000,1.98738,515.25926
10000,3.32511,601.55820
12000,4.64844,743.52098
14000,7.70638,712.16852
16000,7.52257,1092.83044
18000,13.56252,890.00589
20000,19.33964,831.65793
