Matrix Size,Elapsed Time (s),GFLOPS
2000,.28419,563.14758
4000,.13743,931.44312
6000,.59923,720.97208
8000,1.28618,796.16773
10000,2.32908,859.39453
12000,4.00156,905.08154
14000,5.64770,976.37009
16000,8.62261,1016.09346
18000,12.66502,920.96302
20000,15.76108,1022.63519
