Matrix Size,Elapsed Time (s),GFLOPS
2000,.40703,393.77332
4000,.20514,625.24132
6000,.76135,567.40762
8000,1.80111,568.53874
10000,3.47811,575.03068
12000,4.60854,797.23658
14000,9.05879,606.21751
16000,12.22251,705.58055
18000,18.25570,643.32045
20000,20.32686,820.43088
