Matrix Size,Elapsed Time (s),GFLOPS
2000,.22208,720.86420
4000,.79271,1617.22859
6000,.24083,1797.03390
8000,.64096,1599.68181
10000,1.13693,1759.37406
12000,1.87317,1846.09417
14000,2.76016,1988.54869
16000,4.27355,2042.57276
18000,5.29635,2258.95631
20000,7.09543,2258.96557
