Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,15.91410,125.67684
2,10000,9.84949,203.06549
3,10000,6.36714,314.17180
4,10000,5.33549,397.16439
5,10000,3.77566,530.17294
6,10000,3.47263,577.82527
7,10000,2.58885,772.97473
8,10000,2.36704,845.03579
9,10000,2.31564,934.51553
10,10000,1.95580,1038.53088
