Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,14.66519,136.37871
2,10000,7.76369,257.61419
3,10000,5.74347,394.14281
4,10000,3.71547,538.28964
5,10000,3.31355,603.79145
6,10000,2.49556,801.45601
7,10000,2.27882,877.65148
8,10000,2.32005,1003.13965
9,10000,1.77859,1125.55325
10,10000,1.55261,1288.53770
