Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,29.07226,68.79471
2,10000,16.33619,122.43478
3,10000,10.74760,186.11492
4,10000,8.64798,235.93174
5,10000,7.00633,288.93887
6,10000,5.47438,365.49036
7,10000,4.57488,437.42256
8,10000,4.10404,489.43297
9,10000,3.46892,576.62505
10,10000,3.14360,636.22677
