Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,14.61955,136.80474
2,10000,8.67119,230.72053
3,10000,5.52464,362.06992
4,10000,4.45811,487.45715
5,10000,3.27241,611.17013
6,10000,2.71090,737.76460
7,10000,2.35170,850.45102
8,10000,1.93296,1034.68259
9,10000,1.74187,1148.19440
10,10000,1.55155,1289.05098
