Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,43.20688,46.43616
4,10000,11.33647,176.42187
5,10000,8.92517,224.08538
6,10000,7.45396,268.31396
7,10000,6.50336,307.55211
8,10000,5.98119,334.38202
9,10000,5.33412,374.94630
10,10000,4.86955,410.71593
11,10000,4.56477,438.13951
12,10000,4.32745,462.16558
13,10000,4.76024,490.67581
14,10000,3.81091,524.80895
15,10000,3.73110,536.04705
16,10000,3.92036,510.15858
