Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,41.92361,47.70669
4,10000,11.59238,172.53194
5,10000,8.78699,227.62478
6,10000,7.91686,252.63183
7,10000,6.32189,316.36187
8,10000,5.60243,356.99207
9,10000,5.38822,394.95579
10,10000,4.65737,429.42881
11,10000,4.23970,471.74636
12,10000,3.83148,521.99124
13,10000,3.82871,522.37176
14,10000,3.34535,597.84477
15,10000,3.13851,637.24509
16,10000,2.88578,693.07671
