Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,31.85257,62.79059
4,10000,10.88130,183.80740
5,10000,8.25773,242.19888
6,10000,5.62169,355.76761
7,10000,5.62871,355.34377
8,10000,4.34030,460.80468
9,10000,4.33734,461.11839
10,10000,3.90287,512.45482
11,10000,3.52396,567.56164
12,10000,3.12058,640.91408
13,10000,3.25516,641.25693
14,10000,2.74031,729.86137
15,10000,2.62053,763.22604
16,10000,2.62772,761.12461
