Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,20.63344,96.93053
4,10000,5.65498,353.68080
5,10000,4.34416,460.38961
6,10000,3.84485,520.17811
7,10000,3.14801,635.32097
8,10000,2.80924,712.47338
9,10000,2.47798,807.10759
10,10000,2.23534,894.71781
11,10000,2.18658,914.67405
12,10000,1.85072,1080.65869
13,10000,1.85143,1080.24551
14,10000,1.63037,1226.71226
15,10000,1.54140,1297.51795
16,10000,1.50302,1330.65261
