Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,20.81751,96.08360
4,10000,5.57342,358.89784
5,10000,4.48540,445.98642
6,10000,3.80327,526.02886
7,10000,3.26349,612.93047
8,10000,2.84496,703.09140
9,10000,2.52576,791.95712
10,10000,2.25120,888.44021
11,10000,2.13158,938.36726
12,10000,1.89641,1054.66909
13,10000,1.76985,1130.24597
14,10000,1.70283,1174.51949
15,10000,1.67059,1197.19541
16,10000,1.50295,1330.74986
