Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,42.10241,47.69526
4,10000,11.66996,171.38029
5,10000,9.41535,212.42016
6,10000,8.13127,245.96552
7,10000,6.46793,309.22368
8,10000,5.84993,341.89058
9,10000,5.67635,352.33878
10,10000,5.24233,381.51008
11,10000,4.22759,473.08400
12,10000,4.14066,483.02989
13,10000,4.14160,482.91444
14,10000,3.92713,509.27743
15,10000,3.75868,532.10283
16,10000,3.65883,646.62713
