Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,30.76817,65.00277
2,10000,16.45351,123.58223
3,10000,10.56934,189.22659
4,10000,8.11872,246.34427
5,10000,7.19672,285.41610
6,10000,5.30518,376.99123
7,10000,4.84732,412.59892
8,10000,4.44373,450.07947
9,10000,4.22033,473.94370
10,10000,3.62700,551.47727
