Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,15.88868,125.87729
2,10000,9.74518,205.24121
3,10000,6.21717,321.69242
4,10000,4.89044,408.96800
5,10000,3.71008,539.08415
6,10000,3.28919,608.33807
7,10000,2.53985,787.44781
8,10000,2.34328,853.64191
9,10000,2.29831,939.84313
10,10000,1.92129,1041.25386
