Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,30.81834,64.89644
2,10000,15.84159,126.25050
3,10000,10.45068,191.37517
4,10000,7.96227,253.53288
5,10000,6.76702,295.61743
6,10000,5.26401,379.93837
7,10000,4.62871,432.10653
8,10000,4.24126,471.56140
9,10000,3.89968,512.86322
10,10000,3.28585,608.67019
