Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,29.05583,68.83344
2,10000,15.51562,133.11728
3,10000,9.79436,204.19977
4,10000,7.40808,269.99421
5,10000,6.96063,291.68161
6,10000,4.98790,406.16018
7,10000,4.68317,429.02019
8,10000,4.09952,503.71857
9,10000,3.46100,578.00400
10,10000,3.63086,647.79741
