Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,30.80534,64.92381
2,10000,18.81181,106.36231
3,10000,12.22855,166.60060
4,10000,9.72969,205.59303
5,10000,7.28503,285.22019
6,10000,6.41410,311.81726
7,10000,5.10132,404.06789
8,10000,4.43437,451.05344
9,10000,4.30284,464.82101
10,10000,3.75023,533.30273
