Matrix Size,Elapsed Time (s),GFLOPS
2000,.27514,581.70581
4000,.16947,755.34308
6000,.55237,782.08272
8000,1.44182,710.70697
10000,2.64250,756.87547
12000,4.61495,748.93613
14000,7.76275,707.44374
16000,11.81708,696.03097
18000,16.78892,697.35526
20000,23.01334,696.21242
