Matrix Size,Elapsed Time (s),GFLOPS
2000,.27413,583.72774
4000,.19345,661.66614
6000,.61488,702.57065
8000,1.46539,698.78999
10000,2.80194,713.79263
12000,5.39818,640.21843
14000,8.16326,672.29263
16000,12.43603,667.60274
18000,17.49106,667.38599
20000,23.50390,683.66459
