Matrix Size,Elapsed Time (s),GFLOPS
2000,.26560,602.49129
4000,.16320,784.31333
6000,.53012,814.89964
8000,1.24696,821.19291
10000,2.43910,819.97456
12000,4.18984,824.85175
14000,6.65160,825.06463
16000,9.92953,825.01387
18000,14.57967,829.70822
20000,19.40957,824.33592
