Matrix Size,Elapsed Time (s),GFLOPS
2000,.15470,1035.99738
4000,.98238,1302.96088
6000,.31650,1364.95332
8000,.74060,1382.70012
10000,1.43461,1394.17299
12000,2.45885,1405.56845
14000,3.88705,1411.91532
16000,5.86307,1397.28857
18000,8.38223,1391.52824
20000,11.36223,1408.24084
