Matrix Size,Elapsed Time (s),GFLOPS
2000,.27388,584.23336
4000,.19321,662.48593
6000,.61448,703.02568
8000,1.50173,682.11555
10000,2.87095,696.63853
12000,5.29663,653.62279
14000,8.13225,675.31777
16000,12.50992,670.09941
18000,17.32543,673.34074
20000,23.39579,684.34973
