Matrix Size,Elapsed Time (s),GFLOPS
2000,.17174,933.35659
4000,.89534,1429.62160
6000,.28536,1513.87785
8000,.64797,1580.30391
10000,1.28947,1551.04159
12000,2.25926,1529.72538
14000,3.51935,1559.39204
16000,5.28161,1551.05882
18000,7.60159,1534.41632
20000,10.61435,1507.39510
