Matrix Size,Elapsed Time (s),GFLOPS
2000,.16293,985.26515
4000,.10333,1238.68266
6000,.33042,1307.47231
8000,.77283,1324.99234
10000,1.53758,1300.73968
12000,2.61124,1323.51062
14000,4.22153,1300.01965
16000,6.52923,1254.79578
18000,9.22357,1303.84685
20000,12.24022,1307.19333
