Matrix Size,Elapsed Time (s),GFLOPS
2000,.16719,957.27622
4000,.89547,1429.41012
6000,.28527,1514.33086
8000,.64725,1582.06145
10000,1.28917,1551.39805
12000,2.23790,1544.64343
14000,3.47409,1579.98468
16000,5.23930,1563.60688
18000,7.62151,1531.03224
20000,10.37138,1542.71874
