Matrix Size,Elapsed Time (s),GFLOPS
2000,.23764,673.57441
4000,.16430,779.09412
6000,.54074,798.90059
8000,1.27609,802.44729
10000,2.47941,806.64239
12000,4.29949,803.81669
14000,6.88144,797.51111
16000,10.21879,801.66102
18000,14.47009,806.08054
20000,20.02679,801.46301
