Matrix Size,Elapsed Time (s),GFLOPS
2000,.16880,956.91853
4000,.10317,1240.67469
6000,.33039,1307.51733
8000,.77368,1323.54968
10000,1.53665,1301.53216
12000,2.61004,1324.12252
14000,4.21464,1302.17013
16000,6.52513,1255.48182
18000,9.19248,1270.16434
20000,12.31549,1299.24030
