size, threads, time
17500,1, 296.517097
17500,1, 291.787166
17500,1, 297.405947
17500,1, 291.713114
17500,1, 296.917799
17500,2, 151.376919
17500,2, 150.891562
17500,2, 145.398280
17500,2, 150.737831
17500,2, 150.377293
17500,3, 102.048274
17500,3, 102.015088
17500,3, 102.074298
17500,3, 96.876557
17500,3, 102.564194
17500,4, 72.881838
17500,4, 72.967008
17500,4, 72.935732
17500,4, 72.964187
17500,4, 72.960754
17500,5, 64.294433
17500,5, 58.836623
17500,5, 58.476412
17500,5, 58.518924
17500,5, 58.514090
17500,6, 54.593293
17500,6, 48.822797
17500,6, 48.881188
17500,6, 48.900271
17500,6, 48.865742
17500,7, 42.054023
17500,7, 42.079155
17500,7, 42.080729
17500,7, 42.408875
17500,7, 47.322997
17500,8, 36.852189
17500,8, 36.924734
17500,8, 36.947956
17500,8, 36.941698
17500,8, 36.927723
17500,9, 32.882096
17500,9, 32.892745
17500,9, 32.890746
17500,9, 32.888177
17500,9, 32.820369
17500,10, 29.631748
17500,10, 29.624665
17500,10, 29.558735
17500,10, 29.619878
17500,10, 29.566410
17500,11, 26.966334
17500,11, 27.023299
17500,11, 26.974856
17500,11, 26.976192
17500,11, 26.975044
17500,12, 24.769411
17500,12, 24.749224
17500,12, 24.751795
17500,12, 24.750129
17500,12, 24.749776
17500,13, 23.042420
17500,13, 22.903211
17500,13, 22.900967
17500,13, 22.918275
17500,13, 22.912960
17500,14, 21.279803
17500,14, 21.302727
17500,14, 21.283366
17500,14, 21.291209
17500,14, 21.286651
17500,15, 19.918361
17500,15, 25.203884
17500,15, 25.359800
17500,15, 20.290409
17500,15, 19.907821
17500,16, 19.117916
17500,16, 19.008811
17500,16, 24.208197
17500,16, 19.120530
17500,16, 18.703835
17500,17, 17.675393
17500,17, 17.678721
17500,17, 17.660032
17500,17, 17.663352
17500,17, 17.689959
17500,18, 16.725791
17500,18, 16.703148
17500,18, 16.732757
17500,18, 16.772124
17500,18, 21.659113
17500,19, 15.929282
17500,19, 15.866347
17500,19, 15.866245
17500,19, 15.859956
17500,19, 15.879399
17500,20, 15.094010
17500,20, 15.080953
17500,20, 15.138564
17500,20, 15.117734
17500,20, 15.092310
17500,21, 14.402533
17500,21, 14.395390
17500,21, 14.381553
17500,21, 14.454831
17500,21, 14.395629
17500,22, 13.754405
17500,22, 13.749036
17500,22, 13.748439
17500,22, 18.883281
17500,22, 13.803104
17500,23, 13.187358
17500,23, 13.176176
17500,23, 13.195928
17500,23, 18.697834
17500,23, 13.181464
17500,24, 12.668054
17500,24, 12.673471
17500,24, 12.659201
17500,24, 17.794545
17500,24, 12.665477
17500,25, 12.179484
17500,25, 12.174020
17500,25, 17.081447
17500,25, 12.175412
17500,25, 12.180431
17500,26, 11.733733
17500,26, 16.876654
17500,26, 11.735013
17500,26, 11.741019
17500,26, 16.702474
17500,27, 11.313911
17500,27, 11.326719
17500,27, 16.372099
17500,27, 11.309285
17500,27, 11.312480
17500,28, 15.920004
17500,28, 10.930758
17500,28, 15.795290
17500,28, 10.939266
17500,28, 10.935275
17500,29, 15.622672
17500,29, 10.570723
17500,29, 15.831245
17500,29, 10.568013
17500,29, 10.584087
17500,30, 15.187829
17500,30, 10.237116
17500,30, 15.323151
17500,30, 10.234976
17500,30, 10.237922
17500,31, 14.983948
17500,31, 9.924068
17500,31, 14.831166
17500,31, 9.928097
17500,31, 15.008790
17500,32, 9.633242
17500,32, 14.669080
17500,32, 9.637060
17500,32, 14.887404
17500,32, 9.634351
17500,33, 14.292083
17500,33, 9.374043
17500,33, 14.669512
17500,33, 9.372310
17500,33, 14.491548
17500,34, 9.115151
17500,34, 14.077649
17500,34, 9.117115
17500,34, 14.093877
17500,34, 9.122261
17500,35, 14.062273
17500,35, 8.880092
17500,35, 14.064813
17500,35, 8.875243
17500,35, 14.128189
17500,36, 13.722813
17500,36, 13.732150
17500,36, 13.435483
17500,36, 8.657350
17500,36, 13.898352
17500,37, 13.359335
17500,37, 13.618165
17500,37, 13.477507
17500,37, 13.354666
17500,37, 8.436377
17500,38, 13.568804
17500,38, 13.363050
17500,38, 13.147184
17500,38, 13.469062
17500,38, 13.321755
17500,39, 13.125636
17500,39, 13.129782
17500,39, 13.221276
17500,39, 13.278246
17500,39, 13.122287
17500,40, 13.312964
17500,40, 13.161362
17500,40, 13.049206
17500,40, 13.269758
17500,40, 13.082805
17500,41, 12.920936
17500,41, 12.887183
17500,41, 12.619980
17500,41, 12.647633
17500,41, 12.780588
17500,42, 12.567477
17500,42, 12.644640
17500,42, 12.651430
17500,42, 12.496981
17500,42
