size, threads, time
17500,1, 144.833429
17500,1, 145.074751
17500,1, 144.705337
17500,1, 144.923780
17500,1, 145.273522
17500,2, 72.973617
17500,2, 72.954752
17500,2, 73.145748
17500,2, 72.954948
17500,2, 73.305044
17500,3, 49.353389
17500,3, 49.354670
17500,3, 49.181893
17500,3, 49.027188
17500,3, 49.090881
17500,4, 37.351475
17500,4, 37.094861
17500,4, 37.117699
17500,4, 37.378642
17500,4, 37.384695
17500,5, 30.169030
17500,5, 29.907147
17500,5, 35.887953
17500,5, 30.119992
17500,5, 30.164440
17500,6, 30.442215
17500,6, 25.767805
17500,6, 30.472715
17500,6, 30.586045
17500,6, 24.984968
17500,7, 27.339648
17500,7, 26.816869
17500,7, 26.926934
17500,7, 26.826313
17500,7, 27.261877
17500,8, 24.556020
17500,8, 24.724874
17500,8, 24.431192
17500,8, 19.433524
17500,8, 24.638953
17500,9, 22.738833
17500,9, 22.729964
17500,9, 22.703479
17500,9, 22.882468
17500,9, 22.885534
17500,10, 21.564528
17500,10, 21.216613
17500,10, 20.784762
17500,10, 21.192589
17500,10, 15.719531
17500,11, 24.831075
17500,11, 14.030361
17500,11, 14.024014
17500,11, 20.188841
17500,11, 14.408712
17500,12, 19.130675
17500,12, 18.495019
17500,12, 12.921026
17500,12, 12.931624
17500,12, 19.041599
17500,13, 17.637428
17500,13, 17.940301
17500,13, 17.841067
17500,13, 17.657430
17500,13, 17.958784
17500,14, 16.706285
17500,14, 16.903306
17500,14, 16.846246
17500,14, 11.606507
17500,14, 17.037296
17500,15, 10.516953
17500,15, 10.519498
17500,15, 16.475581
17500,15, 16.187941
17500,15, 16.238817
17500,16, 15.411572
17500,16, 15.964768
17500,16, 15.835695
17500,16, 10.341345
17500,16, 16.144249
17500,17, 15.388612
17500,17, 15.228427
17500,17, 15.375384
17500,17, 15.487497
17500,17, 9.800034
17500,18, 14.813370
17500,18, 14.644625
17500,18, 14.461290
17500,18, 14.708044
17500,18, 14.859382
17500,19, 14.007414
17500,19, 14.226135
17500,19, 14.413775
17500,19, 14.267276
17500,19, 14.186520
17500,20, 13.467430
17500,20, 13.558401
17500,20, 13.847580
17500,20, 13.851344
17500,20, 13.347896
17500,21, 13.280229
17500,21, 13.514566
17500,21, 13.640332
17500,21, 13.500577
17500,21, 13.013144
17500,22, 12.959236
17500,22, 13.235924
17500,22, 13.188254
17500,22, 12.799662
17500,22, 13.089959
17500,23, 12.967793
17500,23, 13.423251
17500,23, 12.873195
17500,23, 12.959132
17500,23, 12.311941
17500,24, 12.934903
17500,24, 12.603957
17500,24, 12.543543
17500,24, 13.178470
17500,24, 12.511570
17500,25, 12.554534
17500,25, 11.922431
17500,25, 12.739724
17500,25, 12.431743
17500,25, 13.249622
17500,26, 12.314615
17500,26, 12.400018
17500,26, 12.040436
17500,26, 12.083633
17500,26, 11.637999
17500,27, 11.766639
17500,27, 11.934102
17500,27, 11.587030
17500,27, 11.741039
17500,27, 12.175208
17500,28, 11.748644
17500,28, 13.100713
17500,28, 11.672839
17500,28, 11.990055
17500,28, 11.541941
17500,29, 12.547123
17500,29, 11.630063
17500,29, 11.892579
17500,29, 11.418538
17500,29, 12.387420
17500,30, 11.388617
17500,30, 11.841331
17500,30, 11.503498
17500,30, 11.324671
17500,30, 11.560951
17500,31, 11.192826
17500,31, 11.189612
17500,31, 11.264965
17500,31, 11.153473
17500,31, 11.684917
17500,32, 11.135584
17500,32, 11.463131
17500,32, 13.534428
17500,32, 13.737038
17500,32, 12.894950
17500,33, 11.058017
17500,33, 11.392163
17500,33, 12.911681
17500,33, 13.362739
17500,33, 13.253799
17500,34, 12.815736
17500,34, 11.463057
17500,34, 10.441103
17500,34, 13.107580
17500,34, 12.866234
17500,35, 13.132265
17500,35, 13.074404
17500,35, 12.942497
17500,35, 13.176966
17500,35, 13.097974
17500,36, 12.538953
17500,36, 13.301713
17500,36, 13.043572
17500,36, 13.003343
17500,36, 12.750090
17500,37, 13.220787
17500,37, 12.645247
17500,37, 12.815118
17500,37, 12.587528
17500,37, 12.656647
17500,38, 12.452441
17500,38, 12.105611
17500,38, 12.405579
17500,38, 12.718884
17500,38, 12.302921
17500,39, 12.675102
17500,39, 10.043142
17500,39, 4.646389
17500,39, 4.718301
17500,39, 4.720412
17500,40, 4.638964
17500,40, 4.638093
17500,40, 4.854102
17500,40, 4.618654
17500,40, 4.613183
17500,41, 4.523187
17500,41, 4.525965
17500,41, 4.772554
17500,41, 4.651012
17500,41, 4.524694
17500,42, 4.458190
17500,42, 4.454064
17500,42, 4.430911
17500,42, 4.495443
17500,42, 4.455620
17500,43, 4.352118
17500,43, 4.381527
17500,43, 4.385397
17500,43, 4.639253
17500,43, 4.421618
17500,44, 4.294958
17500,44, 4.266917
17500,44, 4.282542
17500,44, 4.265631
17500,44, 4.259450
17500,45, 4.204656
17500,45, 4.195759
17500,45, 4.202885
17500,45, 4.197107
17500,45, 4.197236
17500,46, 4.133800
17500,46, 4.136586
17500,46, 4.119588
17500,46, 4.304077
17500,46, 4.126199
17500,47, 4.068491
17500,47, 4.051588
17500,47, 4.060646
17500,47, 4.062874
17500,47, 4.349658
17500,48, 4.021677
17500,48, 4.030328
17500,48, 3.988436
17500,48, 4.028627
17500,48, 4.293122
17500,49, 3.970068
17500,49, 3.971795
17500,49, 3.930913
17500,49, 3.962637
17500,49, 4.169419
17500,50, 3.908601
17500,50, 3.907479
17500,50, 3.872175
17500,50, 3.875073
17500,50, 4.180771
17500,51, 3.855386
17500,51, 3.865456
17500,51, 3.825670
17500,51, 3.823168
17500,51, 3.859346
17500,52, 3.790302
17500,52, 3.780948
17500,52, 3.805888
17500,52, 3.776638
17500,52, 3.812531
17500,53, 3.753775
17500,53, 3.740599
17500,53, 3.722391
17500,53, 3.722873
17500,53, 3.726851
17500,54, 3.710470
17500,54, 3.722132
17500,54, 3.702247
17500,54, 3.683754
17500,54, 3.676328
17500,55, 3.663465
17500,55, 3.674232
17500,55, 3.668416
17500,55, 3.638099
17500,55, 3.657720
17500,56, 3.617126
17500,56, 3.620412
17500,56, 3.895034
17500,56, 3.629508
17500,56, 3.637823
17500,57, 3.550599
17500,57, 3.588837
17500,57, 3.767346
17500,57, 3.587612
17500,57, 3.574870
17500,58, 3.544374
17500,58, 3.502234
17500,58, 3.747033
17500,58, 3.534611
17500,58, 3.534913
17500,59, 3.505752
17500,59, 3.459959
17500,59, 3.798208
17500,59, 3.488907
17500,59, 3.497992
17500,60, 3.449839
17500,60, 3.509275
17500,60, 3.459067
17500,60, 3.421530
17500,60, 3.461899
17500,61, 3.403080
17500,61, 3.657472
17500,61, 3.399754
17500,61, 3.438887
17500,61, 3.389931
17500,62, 3.391316
17500,62, 3.586071
17500,62, 3.370793
17500,62, 3.394417
17500,62, 3.404925
17500,63, 3.361928
17500,63, 3.641107
17500,63, 3.350283
17500,63, 3.345886
17500,63, 3.364108
17500,64, 3.324435
17500,64, 3.576277
17500,64, 3.326535
17500,64, 3.323333
17500,64, 3.331294
