Number of cores,Size,Elapsed Time (s),GFLOPS
1,10000,29.54107,67.70244
2,10000,15.28974,130.82784
4,10000,7.44589,268.60454
6,10000,4.87921,409.90366
8,10000,3.71480,538.38848
10,10000,2.94977,678.01800
12,10000,2.43971,819.76868
14,10000,2.11515,945.55778
16,10000,1.86514,1072.30462
18,10000,1.66218,1203.23734
20,10000,1.51256,1322.26034
22,10000,1.37865,1450.69113
24,10000,1.27380,1570.09786
